Mapping parameters for Panulirus interruptus (Mexican spiny loster)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77,
Bounding Box (NSWE): ,35,23,-121,-110

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,15,68,140
Temperature (°C),1,13.93,15.71,21.89,23.4
Salinity (psu),1,32.73,33.23,34.23,34.87
Primary Production (mgC·m-3·day-1) ,1,2.9,5.24,47.63,90.71
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,8.17,10.84,226.65,253.89
Distance to Land (km),0,0,3,93,120
 

Map data (HSPEC) for predicted occurrences (n = 70): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Panulirus,interruptus,27.75,-113.75,7211:373:4,0.13
Panulirus,interruptus,28.75,-113.25,7211:383:3,0.16
Panulirus,interruptus,28.75,-113.75,7211:383:4,0.09
Panulirus,interruptus,34.25,-120.75,7312:140:2,0.06
Panulirus,interruptus,25.75,-113.25,7211:353:3,0.33
Panulirus,interruptus,27.75,-112.75,7211:372:4,0.29
Panulirus,interruptus,34.25,-120.25,7312:140:1,0.37
Panulirus,interruptus,24.75,-112.25,7211:142:3,0.42
Panulirus,interruptus,33.75,-120.25,7312:130:3,0.54
Panulirus,interruptus,34.75,-120.25,7312:140:3,0.42
Panulirus,interruptus,28.75,-115.25,7211:485:3,0.75
Panulirus,interruptus,29.25,-115.75,7211:495:2,0.67
Panulirus,interruptus,33.25,-119.75,7311:239:2,0.78
Panulirus,interruptus,25.25,-112.25,7211:352:1,1.00
Panulirus,interruptus,25.75,-112.25,7211:352:3,1.00
Panulirus,interruptus,25.75,-112.75,7211:352:4,1.00
Panulirus,interruptus,26.25,-112.25,7211:362:1,1.00
Panulirus,interruptus,26.25,-112.75,7211:362:2,1.00
Panulirus,interruptus,26.75,-112.75,7211:362:4,1.00
Panulirus,interruptus,26.25,-113.25,7211:363:1,1.00
Panulirus,interruptus,26.25,-113.75,7211:363:2,1.00
Panulirus,interruptus,26.75,-113.25,7211:363:3,1.00
Panulirus,interruptus,26.75,-113.75,7211:363:4,1.00
Panulirus,interruptus,26.75,-114.25,7211:364:3,1.00
Panulirus,interruptus,27.25,-113.75,7211:373:2,1.00
Panulirus,interruptus,27.25,-114.25,7211:374:1,1.00
Panulirus,interruptus,27.25,-114.75,7211:374:2,1.00
Panulirus,interruptus,27.75,-114.25,7211:374:3,1.00
Panulirus,interruptus,27.75,-114.75,7211:374:4,1.00
Panulirus,interruptus,28.25,-114.25,7211:384:1,1.00
Panulirus,interruptus,28.25,-114.75,7211:384:2,1.00
Panulirus,interruptus,28.75,-114.25,7211:384:3,1.00
Panulirus,interruptus,28.75,-114.75,7211:384:4,1.00
Panulirus,interruptus,29.25,-114.75,7211:394:2,1.00
Panulirus,interruptus,27.75,-115.25,7211:475:3,1.00
Panulirus,interruptus,28.25,-115.25,7211:485:1,1.00
Panulirus,interruptus,28.25,-115.75,7211:485:2,1.00
Panulirus,interruptus,28.75,-118.25,7211:488:3,1.00
Panulirus,interruptus,29.25,-115.25,7211:495:1,1.00
Panulirus,interruptus,29.75,-115.25,7211:495:3,1.00
Panulirus,interruptus,29.75,-115.75,7211:495:4,0.90
Panulirus,interruptus,29.25,-118.25,7211:498:1,1.00
Panulirus,interruptus,30.25,-115.75,7311:205:2,1.00
Panulirus,interruptus,30.75,-115.75,7311:205:4,1.00
Panulirus,interruptus,30.25,-116.25,7311:206:1,1.00
Panulirus,interruptus,30.75,-116.25,7311:206:3,1.00
Panulirus,interruptus,31.25,-116.25,7311:216:1,1.00
Panulirus,interruptus,31.25,-116.75,7311:216:2,1.00
Panulirus,interruptus,31.75,-116.75,7311:216:4,1.00
Panulirus,interruptus,32.25,-116.75,7311:226:2,1.00
Panulirus,interruptus,32.25,-117.25,7311:227:1,1.00
Panulirus,interruptus,32.75,-117.25,7311:227:3,0.93
Panulirus,interruptus,32.75,-118.25,7311:228:3,1.00
Panulirus,interruptus,32.75,-118.75,7311:228:4,1.00
Panulirus,interruptus,32.25,-119.25,7311:229:1,0.89
Panulirus,interruptus,32.75,-119.25,7311:229:3,1.00
Panulirus,interruptus,33.25,-117.25,7311:237:1,1.00
Panulirus,interruptus,33.25,-117.75,7311:237:2,1.00
Panulirus,interruptus,33.75,-117.75,7311:237:4,1.00
Panulirus,interruptus,33.25,-118.25,7311:238:1,1.00
Panulirus,interruptus,33.25,-118.75,7311:238:2,1.00
Panulirus,interruptus,33.75,-118.25,7311:238:3,0.97
Panulirus,interruptus,33.75,-118.75,7311:238:4,1.00
Panulirus,interruptus,33.25,-119.25,7311:239:1,1.00
Panulirus,interruptus,33.75,-119.25,7311:239:3,1.00
Panulirus,interruptus,33.75,-119.75,7311:239:4,1.00
Panulirus,interruptus,34.25,-118.25,7311:248:1,1.00
Panulirus,interruptus,34.25,-118.75,7311:248:2,0.90
Panulirus,interruptus,34.25,-119.25,7311:249:1,0.94
Panulirus,interruptus,34.25,-119.75,7311:249:2,0.86


Occurrence cells used for creating environmental envelope (n = 39)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Panulirus,interruptus,24.75,-111.75,7211:141:4,63,22.3508052825928,18.8773612976074,34.1378326416016,34.3234977722168,2.89880856871605,0,164.96125793457,8
Panulirus,interruptus,24.75,-112.25,7211:142:3,123,21.4752044677734,19.3309726715088,34.0261459350586,33.9476356506348,3.87799995951355,0,220.85856628418,24
Panulirus,interruptus,26.25,-112.25,7211:362:1,5,21.8920917510986,16.3892955780029,34.1822052001953,34.1953086853027,7.64468312263489,0,157.859832763672,6
Panulirus,interruptus,26.75,-113.75,7211:363:4,194,19.4821281433105,18.3224792480469,33.8537826538086,33.6990814208984,24.9210000038147,0,223.065643310547,20
Panulirus,interruptus,27.25,-114.25,7211:374:1,234,19.1178150177002,12.0865745544434,33.72998046875,34.1081848144531,21.5770602226257,0,162.777694702148,10
Panulirus,interruptus,27.25,-114.75,7211:374:2,1416,18.6844081878662,6.10569095611572,33.7561187744141,34.4335174560547,24.6169995516539,0,11.6225690841675,24
Panulirus,interruptus,27.75,-114.25,7211:374:3,4,18.9586162567139,18.2444667816162,33.6143188476563,33.8093719482422,20.6560008227825,0,237.174026489258,10
Panulirus,interruptus,27.75,-115.25,7211:475:3,1001,18.3465881347656,11.5913162231445,33.6673393249512,34.2225875854492,19.2740000784397,0,27.9022541046143,98
Panulirus,interruptus,28.25,-112.75,7211:382:2,183,22.6600513458252,14.6176242828369,34.8680458068848,34.8872261047363,5.96300000324845,0,103.295036315918,16
Panulirus,interruptus,28.25,-114.25,7211:384:1,54,18.5152606964111,16.4002952575684,33.5519714355469,33.6554336547852,23.8000005483627,0,210.619354248047,23
Panulirus,interruptus,28.25,-115.25,7211:485:1,124,18.1311836242676,10.3676567077637,33.5852279663086,34.1438369750977,16.856070607900598,0,51.6168937683105,22
Panulirus,interruptus,28.75,-112.25,7211:382:3,154,23.4015731811523,19.6935348510742,34.8629112243652,34.9911308288574,4.05099987983704,0,221.368576049805,20
Panulirus,interruptus,28.75,-113.75,7211:383:4,1,20.6540470123291,13.0911645889282,34.4422302246094,34.1739082336426,13.663150370121,0,113.786758422852,0
Panulirus,interruptus,28.75,-114.25,7211:384:3,92,19.5217590332031,14.3559837341309,34.0794639587402,33.9417304992676,18.6488181352615,0,137.596176147461,12
Panulirus,interruptus,28.75,-118.25,7211:488:3,2987,18.3937015533447,1.47903203964233,33.510082244873,34.6715545654297,6.96900021284819,0,116.017654418945,24
Panulirus,interruptus,29.25,-118.25,7211:498:1,2358,18.1207523345947,2.44648694992065,33.4836120605469,34.5938148498535,7.82399997115135,0,60.9319458007813,24
Panulirus,interruptus,29.75,-115.25,7211:495:3,9,18.7412509918213,16.5966815948486,34.0183563232422,33.9177436828613,34.7559005022049,0,184.872680664063,3
Panulirus,interruptus,30.75,-116.25,7311:206:3,416,16.9503231048584,14.4426908493042,33.4773788452148,33.4045524597168,47.2499988973141,0,206.865921020508,22
Panulirus,interruptus,31.75,-116.75,7311:216:4,570,17.1246318817139,13.3359565734863,33.4399337768555,33.3729019165039,47.5319996476173,0,187.593460083008,18
Panulirus,interruptus,32.25,-116.75,7311:226:2,299,18.1780662536621,15.9127979278564,33.5559158325195,33.696891784668,40.9144535660744,0,212.900665283203,4
Panulirus,interruptus,32.25,-117.25,7311:227:1,942,17.3918399810791,3.8139181137085,33.2312431335449,34.4769096374512,39.5080000162125,0,21.8090572357178,23
Panulirus,interruptus,32.25,-119.25,7311:229:1,1282,16.2186603546143,2.63101410865784,33.4121971130371,34.5488243103027,5.23700006306171,0,49.1885566711426,120
Panulirus,interruptus,32.75,-118.75,7311:228:4,1084,16.7906265258789,3.56546592712402,33.455436706543,34.4955673217773,8.80800001323223,0,25.5191268920898,23
Panulirus,interruptus,32.75,-117.25,7311:227:3,417,17.5296211242676,17.3001308441162,33.1959571838379,33.4590377807617,47.630000859499,0,253.88542175293,17
Panulirus,interruptus,33.25,-117.25,7311:237:1,346,18.7146682739258,16.5972518920898,33.7724189758301,33.9172439575195,36.3377034664154,0,216.342498779297,6
Panulirus,interruptus,33.25,-117.75,7311:237:2,707,17.6597366333008,4.86465501785278,33.423770904541,34.4202308654785,40.913000702858,0,10.8413753509521,22
Panulirus,interruptus,33.25,-118.25,7311:238:1,783,17.4244079589844,4.48188304901123,33.4563636779785,34.4491996765137,24.8460005968809,0,9.99701404571533,22
Panulirus,interruptus,33.25,-118.75,7311:238:2,1053,16.9537334442139,3.56418490409851,33.4674224853516,34.495304107666,15.7900005578995,0,25.4763431549072,93
Panulirus,interruptus,33.25,-119.25,7311:239:1,848,16.1435928344727,4.52489995956421,33.4641265869141,34.4151573181152,12.071999721229101,0,9.6619234085083,23
Panulirus,interruptus,33.25,-120.25,7312:130:1,1021,15.0113191604614,4.11513090133667,33.3741188049316,34.4657783508301,9.11599956452847,0,17.237434387207,102
Panulirus,interruptus,33.75,-117.75,7311:237:4,279,17.989444732666,16.1753520965576,33.5121688842773,33.739933013916,41.7538620531559,0,226.297241210938,3
Panulirus,interruptus,33.75,-118.25,7311:238:3,435,17.1248607635498,16.0249519348145,33.4362258911133,33.4448699951172,48.8069988787174,0,247.852645874023,15
Panulirus,interruptus,33.75,-118.75,7311:238:4,709,16.94748878479,4.54576587677002,33.4443244934082,34.4468955993652,41.8590009212494,0,8.17373371124268,85
Panulirus,interruptus,33.75,-119.75,7311:239:4,626,15.7131910324097,2.60544395446777,33.4584121704102,34.5506286621094,26.8789995461702,0,48.3760681152344,23
Panulirus,interruptus,34.25,-118.25,7311:248:1,6,17.3428440093994,15.5374479293823,33.276424407959,33.6534538269043,46.0786670446396,0,223.883682250977,0
Panulirus,interruptus,34.25,-118.75,7311:248:2,167,16.576810836792,14.9008817672729,33.2416839599609,33.4844207763672,51.7826080322266,0,226.652648925781,3
Panulirus,interruptus,34.25,-119.25,7311:249:1,157,16.025842666626,12.1285209655762,33.3387832641602,33.7734565734863,50.2023063600063,0,151.240951538086,12
Panulirus,interruptus,34.25,-119.75,7311:249:2,236,15.4664936065674,9.33530902862549,33.4423599243164,34.1384048461914,47.0339991152287,0,60.8652267456055,19
Panulirus,interruptus,34.25,-120.25,7312:140:1,253,14.5869131088257,6.37804317474365,33.412525177002,34.2600250244141,38.6510007083416,0,25.4960613250732,22
