Mapping parameters for Apostichopus parvimensis ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."


Map data (HSPEC) for predicted occurrences (n = 244): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Apostichopus,parvimensis,-26.25,-70.75,5207:360:2,0.01
Apostichopus,parvimensis,-27.75,-71.25,5207:371:3,0.05
Apostichopus,parvimensis,-46.25,167.75,3416:467:2,0.04
Apostichopus,parvimensis,-46.75,167.75,3416:467:4,0.03
Apostichopus,parvimensis,-46.25,168.25,3416:468:1,0.07
Apostichopus,parvimensis,-46.75,168.25,3416:468:3,0.11
Apostichopus,parvimensis,-46.75,168.75,3416:468:4,0.12
Apostichopus,parvimensis,-46.25,169.75,3416:469:2,0.05
Apostichopus,parvimensis,-46.75,169.25,3416:469:3,0.07
Apostichopus,parvimensis,-41.75,174.25,3417:114:3,0.03
Apostichopus,parvimensis,-42.25,173.75,3417:123:2,0.02
Apostichopus,parvimensis,-42.75,173.25,3417:123:3,0.06
Apostichopus,parvimensis,-42.75,173.75,3417:123:4,0.07
Apostichopus,parvimensis,-42.25,174.25,3417:124:1,0.05
Apostichopus,parvimensis,-43.75,171.75,3417:131:4,0.04
Apostichopus,parvimensis,-43.25,172.75,3417:132:2,0.04
Apostichopus,parvimensis,-43.75,172.25,3417:132:3,0.07
Apostichopus,parvimensis,-43.75,172.75,3417:132:4,0.10
Apostichopus,parvimensis,-43.25,173.25,3417:133:1,0.10
Apostichopus,parvimensis,-43.75,173.25,3417:133:3,0.09
Apostichopus,parvimensis,-44.25,171.25,3417:141:1,0.04
Apostichopus,parvimensis,-44.25,171.75,3417:141:2,0.07
Apostichopus,parvimensis,-44.75,171.25,3417:141:3,0.09
Apostichopus,parvimensis,-44.75,171.75,3417:141:4,0.08
Apostichopus,parvimensis,-44.25,172.25,3417:142:1,0.10
Apostichopus,parvimensis,-44.25,172.75,3417:142:2,0.09
Apostichopus,parvimensis,-45.25,170.75,3417:350:2,0.06
Apostichopus,parvimensis,-45.75,170.25,3417:350:3,0.04
Apostichopus,parvimensis,-45.75,170.75,3417:350:4,0.06
Apostichopus,parvimensis,-45.25,171.25,3417:351:1,0.07
Apostichopus,parvimensis,-46.25,170.25,3417:360:1,0.05
Apostichopus,parvimensis,-2.25,-79.75,5007:229:2,0.12
Apostichopus,parvimensis,-6.75,-79.75,5007:469:4,0.02
Apostichopus,parvimensis,-7.25,-79.75,5007:479:2,0.05
Apostichopus,parvimensis,-7.75,-79.25,5007:479:3,0.01
Apostichopus,parvimensis,-8.25,-78.75,5007:488:2,0.01
Apostichopus,parvimensis,-2.75,-80.25,5008:120:3,0.14
Apostichopus,parvimensis,-3.75,-80.25,5008:130:3,0.01
Apostichopus,parvimensis,-4.75,-81.25,5008:141:3,0.12
Apostichopus,parvimensis,-0.75,-89.25,5008:209:3,0.06
Apostichopus,parvimensis,-5.25,-80.75,5008:350:2,0.03
Apostichopus,parvimensis,-5.25,-81.25,5008:351:1,0.14
Apostichopus,parvimensis,-5.75,-81.25,5008:351:3,0.04
Apostichopus,parvimensis,-18.25,-70.25,5107:380:1,0.03
Apostichopus,parvimensis,-22.25,-70.25,5207:120:1,0.04
Apostichopus,parvimensis,-22.75,-70.25,5207:120:3,0.18
Apostichopus,parvimensis,-25.75,-70.75,5207:350:4,0.01
Apostichopus,parvimensis,-28.25,-71.25,5207:381:1,0.05
Apostichopus,parvimensis,-29.25,-71.75,5207:391:2,0.09
Apostichopus,parvimensis,-30.25,-71.75,5307:101:2,0.12
Apostichopus,parvimensis,-30.75,-71.75,5307:101:4,0.13
Apostichopus,parvimensis,-31.25,-71.75,5307:111:2,0.16
Apostichopus,parvimensis,-32.25,-71.75,5307:121:2,0.19
Apostichopus,parvimensis,-35.25,-72.25,5307:352:1,0.17
Apostichopus,parvimensis,-35.25,-72.75,5307:352:2,0.17
Apostichopus,parvimensis,-35.75,-72.75,5307:352:4,0.08
Apostichopus,parvimensis,-36.25,-72.75,5307:362:2,0.12
Apostichopus,parvimensis,-36.75,-72.75,5307:362:4,0.18
Apostichopus,parvimensis,-36.25,-73.25,5307:363:1,0.15
Apostichopus,parvimensis,-37.25,-73.25,5307:373:1,0.12
Apostichopus,parvimensis,-39.75,-73.25,5307:393:3,0.13
Apostichopus,parvimensis,-42.75,-73.75,5407:123:4,0.01
Apostichopus,parvimensis,-43.25,-73.25,5407:133:1,0.18
Apostichopus,parvimensis,-43.75,-73.25,5407:133:3,0.17
Apostichopus,parvimensis,-44.75,-72.75,5407:142:4,0.17
Apostichopus,parvimensis,-45.25,-72.75,5407:352:2,0.07
Apostichopus,parvimensis,-45.25,-73.75,5407:353:2,0.18
Apostichopus,parvimensis,-45.75,-73.25,5407:353:3,0.18
Apostichopus,parvimensis,-45.75,-73.75,5407:353:4,0.17
Apostichopus,parvimensis,-46.25,-73.25,5407:363:1,0.05
Apostichopus,parvimensis,-46.25,-73.75,5407:363:2,0.16
Apostichopus,parvimensis,-47.25,-73.75,5407:373:2,0.04
Apostichopus,parvimensis,-47.75,-73.25,5407:373:3,0.02
Apostichopus,parvimensis,-47.75,-73.75,5407:373:4,0.07
Apostichopus,parvimensis,-47.75,-74.25,5407:374:3,0.11
Apostichopus,parvimensis,-47.75,-74.75,5407:374:4,0.13
Apostichopus,parvimensis,-46.75,-73.75,5407:363:4,0.14
Apostichopus,parvimensis,-46.25,-74.25,5407:364:1,0.07
Apostichopus,parvimensis,-46.75,-74.25,5407:364:3,0.19
Apostichopus,parvimensis,-48.25,-75.25,5407:485:1,0.08
Apostichopus,parvimensis,-48.25,-73.25,5407:383:1,0.01
Apostichopus,parvimensis,-48.25,-73.75,5407:383:2,0.03
Apostichopus,parvimensis,-48.25,-74.25,5407:384:1,0.04
Apostichopus,parvimensis,-48.25,-74.75,5407:384:2,0.05
Apostichopus,parvimensis,-46.75,-75.75,5407:465:4,0.19
Apostichopus,parvimensis,-47.75,-75.25,5407:475:3,0.14
Apostichopus,parvimensis,0.25,-79.75,7007:209:2,0.11
Apostichopus,parvimensis,1.25,-78.75,7007:218:2,0.04
Apostichopus,parvimensis,1.25,-79.25,7007:219:1,0.03
Apostichopus,parvimensis,1.25,-79.75,7007:219:2,0.18
Apostichopus,parvimensis,27.75,-114.25,7211:374:3,0.07
Apostichopus,parvimensis,36.75,-121.75,7312:361:4,0.09
Apostichopus,parvimensis,36.75,-122.25,7312:362:3,0.19
Apostichopus,parvimensis,38.75,-123.25,7312:383:3,0.17
Apostichopus,parvimensis,41.25,-124.25,7412:114:1,0.17
Apostichopus,parvimensis,41.75,-124.25,7412:114:3,0.13
Apostichopus,parvimensis,42.25,-124.25,7412:124:1,0.18
Apostichopus,parvimensis,44.25,-124.25,7412:144:1,0.14
Apostichopus,parvimensis,50.25,-128.25,7512:208:1,0.02
